album,lyric
1989 (Deluxe),All you had to do was (Stay)
1989 (Deluxe),All you had to do was (Stay)
1989 (Deluxe),"All you had to do was (Stay, stay, stay, stay, stay)"
1989 (Deluxe),Let me remind you
1989 (Deluxe),"This was what you wanted (Oh, oh, oh-oh-oh)"
1989 (Deluxe),You ended it
1989 (Deluxe),"You were all I wanted (Oh, oh, oh-oh-oh)"
1989 (Deluxe),But not like this
1989 (Deluxe),Not like this
1989 (Deluxe),Not like this
1989 (Deluxe),"Oh, all you had to do was..."
1989 (Deluxe),"(Stay) Hey, all you had to do was stay"
1989 (Deluxe),"Had me in the palm of your hand, then"
1989 (Deluxe),Why'd you want to go and lock me out when I let you in?
1989 (Deluxe),"(Stay) Hey, now you say you want it back"
1989 (Deluxe),Now that it's just too late
1989 (Deluxe),"Well, could've been easy"
1989 (Deluxe),All you had to do was...
1989 (Deluxe),"(Stay) Hey, all you had to do was stay"
1989 (Deluxe),"Had me in the palm of your hand, then"
1989 (Deluxe),Why'd you have to go and lock me out when I let you in?
1989 (Deluxe),"(Stay) Hey, now you say you want it back"
1989 (Deluxe),Now that it's just too late
1989 (Deluxe),"Well, could've been easy (All you had to do was stay)"
1989 (Deluxe),All you had to do was (Stay)
1989 (Deluxe),All you had to do was (Stay) (Oh)
1989 (Deluxe),All you had to do was (Stay)
1989 (Deluxe),All you had to do was (Stay) (Ooh)
1989 (Deluxe),All you had to do was (Stay)
1989 (Deluxe),I stay out too late
1989 (Deluxe),Got nothing in my brain
1989 (Deluxe),"That's what people say, mmm-mmm"
1989 (Deluxe),"That's what people say, mmm-mmm"
1989 (Deluxe),I go on too many dates
1989 (Deluxe),But I can't make them stay
1989 (Deluxe),"At least that's what people say, mmm-mmm"
1989 (Deluxe),"That's what people say, mmm-mmm"
1989 (Deluxe),But I keep cruisin'
1989 (Deluxe),"Can't stop, won't stop movin'"
1989 (Deluxe),It's like I got this music in my mind
1989 (Deluxe),Sayin' it's gonna be alright
1989 (Deluxe),"'Cause the players gonna play, play, play, play, play"
1989 (Deluxe),"And the haters gonna hate, hate, hate, hate, hate"
1989 (Deluxe),"Baby, I'm just gonna shake, shake, shake, shake, shake"
1989 (Deluxe),"I shake it off, I shake it off"
1989 (Deluxe),"Heartbreakers gonna break, break, break, break, break"
1989 (Deluxe),"And the fakers gonna fake, fake, fake, fake, fake"
1989 (Deluxe),"Baby, I'm just gonna shake, shake, shake, shake, shake"
1989 (Deluxe),"I shake it off, I shake it off"
1989 (Deluxe),I never miss a beat
1989 (Deluxe),I'm lightnin' on my feet
1989 (Deluxe),"And that's what they don't see, mmm-mmm"
1989 (Deluxe),"That's what they don't see, mmm-mmm"
1989 (Deluxe),I'm dancin' on my own (Dancin' on my own)
1989 (Deluxe),I make the moves up as I go (Moves up as I go)
1989 (Deluxe),"And that's what they don't know, mmm-mmm"
1989 (Deluxe),"That's what they don't know, mmm-mmm"
1989 (Deluxe),But I keep cruisin'
1989 (Deluxe),"Can't stop, won't stop groovin'"
1989 (Deluxe),It's like I got this music in my mind
1989 (Deluxe),Sayin' it's gonna be alright
1989 (Deluxe),"'Cause the players gonna play, play, play, play, play"
1989 (Deluxe),"And the haters gonna hate, hate, hate, hate, hate"
1989 (Deluxe),"Baby, I'm just gonna shake, shake, shake, shake, shake"
1989 (Deluxe),"I shake it off, I shake it off"
1989 (Deluxe),"Heartbreakers gonna break, break, break, break, break"
1989 (Deluxe),"And the fakers gonna fake, fake, fake, fake, fake"
1989 (Deluxe),"Baby, I'm just gonna shake, shake, shake, shake, shake"
1989 (Deluxe),"I shake it off, I shake it off"
1989 (Deluxe),"Shake it off, I shake it off"
1989 (Deluxe),"I, I, I shake it off, I shake it off"
1989 (Deluxe),"I, I, I shake it off, I shake it off"
1989 (Deluxe),"I, I, I shake it off, I shake it off"
1989 (Deluxe),"Hey, hey, hey"
1989 (Deluxe),"Just think, while you've been gettin' down and out about the liars"
1989 (Deluxe),"And the dirty, dirty cheats of the world"
1989 (Deluxe),You could've been gettin' down
1989 (Deluxe),To this sick beat
1989 (Deluxe),My ex-man brought his new girlfriend
1989 (Deluxe),"She's like, ""Oh my God!"" But I'm just gonna shake"
1989 (Deluxe),And to the fella over there with the hella good hair
1989 (Deluxe),"Won't you come on over, baby?"
1989 (Deluxe),"We can shake, shake, shake"
1989 (Deluxe),"Yeah, oh, oh, oh"
1989 (Deluxe),"'Cause the players gonna play, play, play, play, play"
1989 (Deluxe),"And the haters gonna hate, hate, hate, hate, hate"
1989 (Deluxe),(Haters gonna hate)
1989 (Deluxe),"Baby, I'm just gonna shake, shake, shake, shake, shake"
1989 (Deluxe),"I shake it off, I shake it off"
1989 (Deluxe),"Heartbreakers gonna break, break, break, break, break (Mmm)"
1989 (Deluxe),"And the fakers gonna fake, fake, fake, fake, fake"
1989 (Deluxe),"(And fake, and fake, and fake)"
1989 (Deluxe),"Baby, I'm just gonna shake, shake, shake, shake, shake"
1989 (Deluxe),"I shake it off, I shake it off"
1989 (Deluxe),"Shake it off, I shake it off"
1989 (Deluxe),"I, I, I shake it off, I shake it off"
1989 (Deluxe),"I, I, I shake it off, I shake it off"
1989 (Deluxe),"I, I, I shake it off, I shake it off"
1989 (Deluxe),"Shake it off, I shake it off"
1989 (Deluxe),"I, I, I shake it off, I shake it off"
1989 (Deluxe),"I, I, I shake it off, I shake it off"
1989 (Deluxe),"I, I, I shake it off, I shake it off (Yeah)"
1989 (Deluxe),"Shake it off, I shake it off"
1989 (Deluxe),"I, I, I shake it off, I shake it off (You got to)"
1989 (Deluxe),"I, I, I shake it off, I shake it off"
1989 (Deluxe),"I, I, I shake it off, I shake it off"
1989 (Deluxe),It's 2AM in your car
1989 (Deluxe),"Windows down, you pass my street, the memories start"
1989 (Deluxe),"You say it's in the past, you drive straight ahead"
1989 (Deluxe),You're thinking that I hate you now
1989 (Deluxe),'Cause you still don't know what I never said
1989 (Deluxe),I wish you would come back
1989 (Deluxe),"Wish I never hung up the phone like I did, I"
1989 (Deluxe),Wish you knew that
1989 (Deluxe),"I'd never forget you as long as I live, and I"
1989 (Deluxe),"Wish you were right here, right now, it's all good"
1989 (Deluxe),I wish you would
1989 (Deluxe),It's 2 AM in my room
1989 (Deluxe),Headlights pass the window pane
1989 (Deluxe),I think of you
1989 (Deluxe),We're a crooked love in a straight line down
1989 (Deluxe),Makes you want to run and hide
1989 (Deluxe),But it makes you turn right back around
1989 (Deluxe),I wish you would come back
1989 (Deluxe),"Wish I never hung up the phone like I did, I"
1989 (Deluxe),Wish you knew that
1989 (Deluxe),"I'd never forget you as long as I live, and I"
1989 (Deluxe),"Wish you were right here, right now, it's all good"
1989 (Deluxe),I wish you would
1989 (Deluxe),I wish we could go back
1989 (Deluxe),"And remember what we were fighting for, and I"
1989 (Deluxe),Wish you knew that
1989 (Deluxe),"I miss you too much to be mad anymore, and I"
1989 (Deluxe),"Wish you were right here, right now, it's all good"
1989 (Deluxe),I wish you would
1989 (Deluxe),"I, I, I, I, I, I wish I, wish I"
1989 (Deluxe),"I, I, I, I, I, I wish I, wish I"
1989 (Deluxe),"I, I, I, I, I, I wish I, wish I"
1989 (Deluxe),You always knew how to push my buttons
1989 (Deluxe),You give me everything and nothing
1989 (Deluxe),"This mad, mad love makes you come running"
1989 (Deluxe),To stand back where you stood
1989 (Deluxe),"I wish you would, I wish you would"
1989 (Deluxe),"(I wish you would, I wish you would)"
1989 (Deluxe),"I wish you would, I wish you would"
1989 (Deluxe),"(I wish you would, I wish you would)"
1989 (Deluxe),"(I wish I, wish I)"
1989 (Deluxe),"2AM, here we are"
1989 (Deluxe),"See your face, hear my voice in the dark"
1989 (Deluxe),We're a crooked love in a straight line down
1989 (Deluxe),Makes you wanna run and hide
1989 (Deluxe),But it made us turn right back around
1989 (Deluxe),I wish you would come back
1989 (Deluxe),"Wish I never hung up the phone like I did, I"
1989 (Deluxe),Wish you knew that
1989 (Deluxe),"I'd never forget you as long as I live, and I"
1989 (Deluxe),"Wish you were right here, right now, it's all good"
1989 (Deluxe),I wish you would
1989 (Deluxe),I wish you would come back
1989 (Deluxe),"Wish I never hung up the phone like I did, I"
1989 (Deluxe),Wish you knew that
1989 (Deluxe),"I'd never forget you as long as I live, and I"
1989 (Deluxe),"Wish you were right here, right now, it's all good"
1989 (Deluxe),I wish you would
1989 (Deluxe),I wish we could go back
1989 (Deluxe),"And remember what we were fighting for, and I"
1989 (Deluxe),Wish you knew that
1989 (Deluxe),"I miss you too much to be mad anymore, and I"
1989 (Deluxe),"Wish you were right here, right now, it's all good"
1989 (Deluxe),I wish you would
1989 (Deluxe),"(I, I, I, I, I, I wish I, wish I)"
1989 (Deluxe),You always knew how to push my buttons
1989 (Deluxe),You give me everything and nothing
1989 (Deluxe),"This mad, mad love makes you come running"
1989 (Deluxe),To stand back where you stood
1989 (Deluxe),"I wish you would, I wish you would"
1989 (Deluxe),"(I wish you would, I wish you would)"
1989 (Deluxe),"I wish you would, I wish you would"
1989 (Deluxe),"(I wish you would, I wish you would, I wish you would)"
1989 (Deluxe),"(I, I, I, I, I, I wish I, wish I)"
1989 (Deluxe),"I, I, I, I, I, I wish I, wish I"
1989 (Deluxe),"I, I, I, I, I, I wish I, wish I"
1989 (Deluxe),I wish you would
1989 (Deluxe),"'Cause baby, now we've got bad blood"
1989 (Deluxe),You know it used to be mad love
1989 (Deluxe),So take a look what you've done
1989 (Deluxe),"'Cause baby, now we've got bad blood, hey!"
1989 (Deluxe),Now we've got problems
1989 (Deluxe),And I don't think we can solve 'em
1989 (Deluxe),You made a really deep cut
1989 (Deluxe),"And baby, now we've got bad blood, hey!"
1989 (Deluxe),Did you have to do this?
1989 (Deluxe),I was thinking that you could be trusted
1989 (Deluxe),Did you have to ruin what was shiny?
1989 (Deluxe),Now it's all rusted
1989 (Deluxe),Did you have to hit me where I'm weak?
1989 (Deluxe),"Baby, I couldn't breathe"
1989 (Deluxe),And rub it in so deep
1989 (Deluxe),Salt in the wound like you're laughing right at me
1989 (Deluxe),"Oh, it's so sad to"
1989 (Deluxe),Think about the good times
1989 (Deluxe),You and I
1989 (Deluxe),"'Cause baby, now we've got bad blood"
1989 (Deluxe),You know it used to be mad love
1989 (Deluxe),So take a look what you've done
1989 (Deluxe),"'Cause baby, now we've got bad blood, hey!"
1989 (Deluxe),Now we've got problems
1989 (Deluxe),And I don't think we can solve 'em
1989 (Deluxe),You made a really deep cut
1989 (Deluxe),"And baby, now we've got bad blood, hey!"
1989 (Deluxe),Did you think we'd be fine?
1989 (Deluxe),Still got scars in my back from your knives
1989 (Deluxe),So don't think it's in the past
1989 (Deluxe),These kinds of wounds they last and they last
1989 (Deluxe),"Now, did you think it all through?"
1989 (Deluxe),All these things will catch up to you
1989 (Deluxe),"And time can heal, but this won't"
1989 (Deluxe),So if you're coming my way
1989 (Deluxe),Just don't
1989 (Deluxe),"Oh, it's so sad to"
1989 (Deluxe),Think about the good times
1989 (Deluxe),You and I
1989 (Deluxe),"'Cause baby, now we've got bad blood"
1989 (Deluxe),You know it used to be mad love
1989 (Deluxe),So take a look what you've done
1989 (Deluxe),"'Cause baby, now we've got bad blood, hey!"
1989 (Deluxe),Now we've got problems
1989 (Deluxe),And I don't think we can solve 'em
1989 (Deluxe),You made a really deep cut
1989 (Deluxe),"And baby, now we've got bad blood, hey!"
1989 (Deluxe),Band-aids don't fix bullet holes
1989 (Deluxe),You say sorry just for show
1989 (Deluxe),"If you live like that, you live with ghosts"
1989 (Deluxe),Band-aids don't fix bullet holes
1989 (Deluxe),You say sorry just for show
1989 (Deluxe),"If you live like that, you live with ghosts"
1989 (Deluxe),"If you love like that, blood runs cold!"
1989 (Deluxe),"'Cause baby, now we've got bad blood"
1989 (Deluxe),You know it used to be mad love
1989 (Deluxe),So take a look what you've done
1989 (Deluxe),"'Cause baby, now we've got bad blood, hey!"
1989 (Deluxe),Now we've got problems
1989 (Deluxe),And I don't think we can solve 'em (Think we can solve 'em)
1989 (Deluxe),You made a really deep cut
1989 (Deluxe),"And baby, now we've got bad blood, hey!"
1989 (Deluxe),"'Cause baby, now we've got bad blood"
1989 (Deluxe),You know it used to be mad love
1989 (Deluxe),So take a look what you've done (Look what you've done)
1989 (Deluxe),"'Cause baby, now we've got bad blood, hey!"
1989 (Deluxe),Now we've got problems
1989 (Deluxe),And I don't think we can solve 'em
1989 (Deluxe),You made a really deep cut
1989 (Deluxe),"And baby, now we've got bad blood, hey!"
1989 (Deluxe),"He said, ""Let's get out of this town"
1989 (Deluxe),"Drive out of the city, away from the crowds"""
1989 (Deluxe),"I thought, ""Heaven can't help me now"""
1989 (Deluxe),Nothing lasts forever
1989 (Deluxe),But this is gonna take me down
1989 (Deluxe),He's so tall and handsome as hell
1989 (Deluxe),"He's so bad, but he does it so well"
1989 (Deluxe),I can see the end as it begins
1989 (Deluxe),My one condition is
1989 (Deluxe),Say you'll remember me
1989 (Deluxe),Standin' in a nice dress
1989 (Deluxe),"Starin' at the sunset, babe"
1989 (Deluxe),Red lips and rosy cheeks
1989 (Deluxe),Say you'll see me again
1989 (Deluxe),Even if it's just in your
1989 (Deluxe),"Wildest dreams, ah, ha"
1989 (Deluxe),"Wildest dreams, ah, ha"
1989 (Deluxe),"I said, ""No one has to know what we do"""
1989 (Deluxe),"His hands are in my hair, his clothes are in my room"
1989 (Deluxe),And his voice is a familiar sound
1989 (Deluxe),Nothin' lasts forever
1989 (Deluxe),But this is gettin' good now
1989 (Deluxe),He's so tall and handsome as hell
1989 (Deluxe),"He's so bad, but he does it so well"
1989 (Deluxe),And when we've had our very last kiss
1989 (Deluxe),My last request is
1989 (Deluxe),Say you'll remember me
1989 (Deluxe),Standin' in a nice dress
1989 (Deluxe),"Starin' at the sunset, babe"
1989 (Deluxe),Red lips and rosy cheeks
1989 (Deluxe),Say you'll see me again
1989 (Deluxe),Even if it's just in your
1989 (Deluxe),"Wildest dreams, ah, ha (Ha, ha)"
1989 (Deluxe),"Wildest dreams, ah, ha"
1989 (Deluxe),You'll see me in hindsight
1989 (Deluxe),Tangled up with you all night
1989 (Deluxe),Burnin' it down
1989 (Deluxe),"Someday, when you leave me"
1989 (Deluxe),I bet these memories
1989 (Deluxe),Follow you around
1989 (Deluxe),You'll see me in hindsight
1989 (Deluxe),Tangled up with you all night
1989 (Deluxe),Burnin' (Burnin') it (It) down (Down)
1989 (Deluxe),"Someday, when you leave me"
1989 (Deluxe),I bet these memories
1989 (Deluxe),Follow (Follow) you (You) around
1989 (Deluxe),(Follow you around)
1989 (Deluxe),Say you'll remember me
1989 (Deluxe),Standing in a nice dress
1989 (Deluxe),"Starin' at the sunset, babe"
1989 (Deluxe),Red lips and rosy cheeks
1989 (Deluxe),Say you'll see me again
1989 (Deluxe),Even if it's just pretend
1989 (Deluxe),Say you'll remember me
1989 (Deluxe),Standin' in a nice dress
1989 (Deluxe),"Starin' at the sunset, babe"
1989 (Deluxe),Red lips and rosy cheeks
1989 (Deluxe),Say you'll see me again
1989 (Deluxe),"Even if it's just in your (Just pretend, just pretend)"
1989 (Deluxe),"Wildest dreams, ah, ha (Ah)"
1989 (Deluxe),"In your wildest dreams, ah, ha"
1989 (Deluxe),Even if it's just in your
1989 (Deluxe),"In your wildest dreams, ah, ha"
1989 (Deluxe),"In your wildest dreams, ah, ha"
1989 (Deluxe),"Oh, oh, oh"
1989 (Deluxe),"Oh, oh, oh"
1989 (Deluxe),"Oh-oh, oh-oh"
1989 (Deluxe),Stand there like a ghost
1989 (Deluxe),"Shaking from the rain, rain"
1989 (Deluxe),"She'll open up the door and say, ""Are you insane?"""
1989 (Deluxe),Say it's been a long six months
1989 (Deluxe),"And you were too afraid to tell her what you want, want"
1989 (Deluxe),And that's how it works
1989 (Deluxe),That's how you get the girl
1989 (Deluxe),"And then, you say"
1989 (Deluxe),I want you for worse or for better
1989 (Deluxe),I would wait forever and ever
1989 (Deluxe),"Broke your heart, I'll put it back together"
1989 (Deluxe),I would wait forever and ever
1989 (Deluxe),And that's how it works
1989 (Deluxe),"That's how you get the girl, girl (Oh-oh, oh)"
1989 (Deluxe),And that's how it works
1989 (Deluxe),"That's how you get the girl, girl"
1989 (Deluxe),"Remind her how it used to be, be, yeah-yeah"
1989 (Deluxe),"With pictures in frames of kisses on cheeks, cheeks"
1989 (Deluxe),"Tell her how you must have lost your mind, ooh-ooh"
1989 (Deluxe),When you left her all alone
1989 (Deluxe),"And never told her why, why"
1989 (Deluxe),And that's how it works
1989 (Deluxe),That's how you lost the girl
1989 (Deluxe),"And now, you say"
1989 (Deluxe),I want you for worse or for better
1989 (Deluxe),I would wait forever and ever (Ever and ever)
1989 (Deluxe),"Broke your heart, I'll put it back together"
1989 (Deluxe),I would wait forever and ever
1989 (Deluxe),And that's how it works
1989 (Deluxe),"That's how you get the girl, girl (Oh-oh, oh-oh)"
1989 (Deluxe),And that's how it works
1989 (Deluxe),"That's how you get the girl, girl"
1989 (Deluxe),"Yeah, yeah"
1989 (Deluxe),And you know
1989 (Deluxe),"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh"
1989 (Deluxe),"That I don't want you to go, oh, oh"
1989 (Deluxe),Remind me how it used to be
1989 (Deluxe),Pictures in frames of kisses on cheeks
1989 (Deluxe),"And say you want me, yeah-yeah"
1989 (Deluxe),And then you say
1989 (Deluxe),I want you for worse or for better (Worse or for better)
1989 (Deluxe),I would wait forever and ever (Ever and ever)
1989 (Deluxe),"Broke your heart, I'll put it back together"
1989 (Deluxe),I want you forever and ever (I would wait forever and ever)
1989 (Deluxe),And that's how it works
1989 (Deluxe),"That's how you get the girl, girl (This is how it works)"
1989 (Deluxe),And that's how it works
1989 (Deluxe),"That's how you get the girl, girl (Get the girl)"
1989 (Deluxe),(That's how it works)
1989 (Deluxe),And that's how it works
1989 (Deluxe),"That's how you get the girl, girl"
1989 (Deluxe),"(Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)"
1989 (Deluxe),And that's how it works
1989 (Deluxe),"That's how you get the girl, girl"
1989 (Deluxe),"(Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)"
1989 (Deluxe),And that's how it works
1989 (Deluxe),That's how you got the girl
1989 (Deluxe),Clear blue water
1989 (Deluxe),High tide came and brought you in
1989 (Deluxe),"And I could go on and on, on and on and I will"
1989 (Deluxe),Skies grew darker
1989 (Deluxe),Currents swept you out again
1989 (Deluxe),"And you were just gone and gone, gone and gone"
1989 (Deluxe),In silent screams and wildest dreams
1989 (Deluxe),I never dreamed of this
1989 (Deluxe),"This love is good, this love is bad"
1989 (Deluxe),"This love is alive back from the dead, oh-oh, oh"
1989 (Deluxe),"These hands had to let it go free, and"
1989 (Deluxe),"This love came back to me, oh-oh, oh"
1989 (Deluxe),"Oh-oh, oh, oh-oh, oh"
1989 (Deluxe),"Tossing, turning"
1989 (Deluxe),Struggled through the night with someone new
1989 (Deluxe),"And I could go on and on, on and on"
1989 (Deluxe),"Lantern, burning"
1989 (Deluxe),"Flickered in my mind, only you"
1989 (Deluxe),"But you were still gone, gone, gone"
1989 (Deluxe),"Been losing grip, on sinking ships"
1989 (Deluxe),You showed up just in time
1989 (Deluxe),"This love is good, this love is bad"
1989 (Deluxe),"This love is alive back from the dead, oh-oh, oh"
1989 (Deluxe),"These hands had to let it go free, and"
1989 (Deluxe),"This love came back to me, oh-oh, oh"
1989 (Deluxe),This love left a permanent mark
1989 (Deluxe),"This love is glowing in the dark, oh-oh, oh"
1989 (Deluxe),"These hands had to let it go free, and"
1989 (Deluxe),"This love came back to me, oh-oh, oh"
1989 (Deluxe),"(This love, this love, this love, this love, oh)"
1989 (Deluxe),"(This love, this love, this love, this love, oh)"
1989 (Deluxe),"(This love, this love, this love, this love, oh)"
1989 (Deluxe),"(This love, this love, this love, this love, oh)"
1989 (Deluxe),"Your kiss, my cheek"
1989 (Deluxe),I watched you leave
1989 (Deluxe),"Your smile, my ghost"
1989 (Deluxe),I fell to my knees
1989 (Deluxe),"When you're young, you just run"
1989 (Deluxe),But you come back to what you need
1989 (Deluxe),"This love is good, this love is bad"
1989 (Deluxe),"This love is alive back from the dead, oh-oh, oh"
1989 (Deluxe),"These hands had to let it go free, and"
1989 (Deluxe),"This love came back to me, oh-oh, oh"
1989 (Deluxe),(This love) This love left a permanent mark
1989 (Deluxe),"(This love) This love is glowing in the dark, oh-oh, oh"
1989 (Deluxe),"(This love) These hands had to let it go free, and"
1989 (Deluxe),"(This love) This love came back to me, oh-oh, oh"
1989 (Deluxe),"(This love, this love, this love, this love, oh)"
1989 (Deluxe),"(This love, this love, this love, this love, oh)"
1989 (Deluxe),"(This love, this love, this love, this love)"
1989 (Deluxe),"This love, this love came back to me, oh-oh, oh"
1989 (Deluxe),"I, I, I, I, I, I, I, I-I"
1989 (Deluxe),"I, I, I, I, I, I, I, I-I"
1989 (Deluxe),"I, I, I, I, I, I, I, I-I (I, I, I, I)"
1989 (Deluxe),You stand with your hand on my waistline
1989 (Deluxe),It's a scene and we're out here in plain sight
1989 (Deluxe),I can hear them whisper as we pass by
1989 (Deluxe),"It's a bad sign, bad sign"
1989 (Deluxe),Something happens when everybody finds out
1989 (Deluxe),"See the vultures circling, dark clouds"
1989 (Deluxe),"Love's a fragile little flame, it could burn out"
1989 (Deluxe),It could burn out
1989 (Deluxe),"'Cause they got the cages, they got the boxes and guns"
1989 (Deluxe),"They are the hunters, we are the foxes and we run"
1989 (Deluxe),"Baby, I know places we won't be found"
1989 (Deluxe),And they'll be chasing their tails trying to track us down
1989 (Deluxe),"'Cause I, I know places we can hide"
1989 (Deluxe),"I know places, I know places"
1989 (Deluxe),Lights flash and we'll run for the fences
1989 (Deluxe),"Let them say what they want, we won't hear it"
1989 (Deluxe),Loose lips sink ships all the damn time
1989 (Deluxe),Not this time
1989 (Deluxe),"Just grab my hand and don't ever drop it, my love"
1989 (Deluxe),"They are the hunters, we are the foxes, and we run"
1989 (Deluxe),"Baby, I know places we won't be found"
1989 (Deluxe),And they'll be chasing their tails trying to track us down
1989 (Deluxe),"'Cause I, I know places we can hide"
1989 (Deluxe),I know places
1989 (Deluxe),"They are the hunters, we are the foxes, and we run"
1989 (Deluxe),"Just grab my hand and don't ever drop it, my love"
1989 (Deluxe),"Baby, I know places we won't be found"
1989 (Deluxe),And they'll be chasing their tails trying to track us down
1989 (Deluxe),"'Cause I, I know places we can hide"
1989 (Deluxe),I know places
1989 (Deluxe),"They take their shots, but we're bulletproof (I know places)"
1989 (Deluxe),"And you know for me, it's always you (I know places)"
1989 (Deluxe),"In the dead of night, your eyes so green (I know places)"
1989 (Deluxe),"And I know for you, it's always me (I know places)"
1989 (Deluxe),"I, I, I, I, I, I, I, I-I"
1989 (Deluxe),"I, I, I, I, I, I, I, I-I"
1989 (Deluxe),"The drought was the very worst (Oh-oh, oh-oh)"
1989 (Deluxe),When the flowers that we'd grown together died of thirst
1989 (Deluxe),"It was months and months of back and forth (Oh-oh, oh-oh)"
1989 (Deluxe),You're still all over me
1989 (Deluxe),Like a wine-stained dress I can't wear anymore
1989 (Deluxe),Hung my head as I lost the war
1989 (Deluxe),And the sky turned black like a perfect storm
1989 (Deluxe),Rain came pouring down
1989 (Deluxe),"When I was drowning, that's when I could finally breathe"
1989 (Deluxe),And by morning
1989 (Deluxe),"Gone was any trace of you, I think I am finally clean"
1989 (Deluxe),"(Oh, oh, oh, oh)"
1989 (Deluxe),"There was nothing left to do (Oh-oh, oh-oh)"
1989 (Deluxe),When the butterflies turned to
1989 (Deluxe),Dust that covered my whole room
1989 (Deluxe),"So I punched a hole in the roof (Oh-oh, oh-oh)"
1989 (Deluxe),Let the flood carry away all my pictures of you
1989 (Deluxe),"The water filled my lungs, I screamed so loud"
1989 (Deluxe),But no one heard a thing
1989 (Deluxe),Rain came pouring down
1989 (Deluxe),"When I was drowning, that's when I could finally breathe"
1989 (Deluxe),And by morning
1989 (Deluxe),"Gone was any trace of you, I think I am finally clean"
1989 (Deluxe),"(Oh, oh, oh, oh)"
1989 (Deluxe),I think I am finally clean
1989 (Deluxe),"(Oh, oh)"
1989 (Deluxe),"Oh, oh, oh, oh, oh-oh"
1989 (Deluxe),"Said, I think I am finally clean"
1989 (Deluxe),"(Oh, oh)"
1989 (Deluxe),"Oh, oh, oh, oh, oh-oh"
1989 (Deluxe),"Ten months sober, I must admit"
1989 (Deluxe),"Just because you're clean, don't mean you don't miss it"
1989 (Deluxe),"Ten months older, I won't give in"
1989 (Deluxe),"Now that I'm clean, I'm never gonna risk it"
1989 (Deluxe),"The drought was the very worst (Oh-oh, oh-oh)"
1989 (Deluxe),When the flowers that we'd grown together died of thirst
1989 (Deluxe),(Oh)
1989 (Deluxe),The rain came pouring down
1989 (Deluxe),"When I was drowning, that's when I could finally breathe"
1989 (Deluxe),And by morning
1989 (Deluxe),"Gone was any trace of you, I think I am finally clean"
1989 (Deluxe),Rain came pouring down
1989 (Deluxe),"When I was drowning, that's when I could finally breathe"
1989 (Deluxe),And by morning
1989 (Deluxe),"Gone was any trace of you, I think I am finally clean"
1989 (Deluxe),"(Oh, oh)"
1989 (Deluxe),Finally clean
1989 (Deluxe),Think I'm finally clean
1989 (Deluxe),"(Oh, oh)"
1989 (Deluxe),"Oh-oh, oh-oh"
1989 (Deluxe),"(Oh, oh, oh)"
1989 (Deluxe),Think I'm finally clean
1989 (Deluxe),Flashing lights and we
1989 (Deluxe),Took a wrong turn and we
1989 (Deluxe),Fell down a rabbit hole
1989 (Deluxe),You held on tight to me
1989 (Deluxe),'Cause nothing's as it seems
1989 (Deluxe),And spinning out of control
1989 (Deluxe),Didn't they tell us don't rush into things?
1989 (Deluxe),Didn't you flash your green eyes at me?
1989 (Deluxe),Haven't you heard what becomes of curious minds?
1989 (Deluxe),"Ooh, didn't it all seem new and exciting?"
1989 (Deluxe),I felt your arms twistin' around me
1989 (Deluxe),I should have slept with one eye open at night
1989 (Deluxe),We found Wonderland
1989 (Deluxe),You and I got lost in it
1989 (Deluxe),"And we pretended it could last forever (Eh, eh)"
1989 (Deluxe),We found Wonderland
1989 (Deluxe),You and I got lost in it
1989 (Deluxe),"And life was never worse but never better (Eh, eh)"
1989 (Deluxe),"(Eh, eh, eh, eh, eh)"
1989 (Deluxe),In Wonderland
1989 (Deluxe),"(Eh, eh, eh, eh, eh)"
1989 (Deluxe),In Wonderland
1989 (Deluxe),"(Eh, eh, eh, eh, eh)"
1989 (Deluxe),In Wonderland
1989 (Deluxe),"(Eh, eh, eh, eh, eh)"
1989 (Deluxe),In Wonderland
1989 (Deluxe),So we went on our way
1989 (Deluxe),Too in love to think straight
1989 (Deluxe),"All alone, or so it seemed"
1989 (Deluxe),But there were strangers watching
1989 (Deluxe),And whispers turned to talking
1989 (Deluxe),"And talking turned to screams, oh"
1989 (Deluxe),Didn't they tell us don't rush into things?
1989 (Deluxe),Didn't you flash your green eyes at me?
1989 (Deluxe),Didn't you calm my fears with a Cheshire cat smile?
1989 (Deluxe),"Ooh, didn't it all seem new and exciting?"
1989 (Deluxe),I felt your arms twistin' around me
1989 (Deluxe),It's all fun and games 'til somebody loses their mind
1989 (Deluxe),But darlin'
1989 (Deluxe),We found Wonderland
1989 (Deluxe),You and I got lost in it
1989 (Deluxe),"And we pretended it could last forever (Eh, eh)"
1989 (Deluxe),We found Wonderland
1989 (Deluxe),You and I got lost in it
1989 (Deluxe),"And life was never worse but never better (Eh, eh)"
1989 (Deluxe),"(Eh, eh, eh, eh, eh)"
1989 (Deluxe),In Wonderland
1989 (Deluxe),"(Eh, eh, eh, eh, eh)"
1989 (Deluxe),In Wonderland
1989 (Deluxe),"(Eh, eh, eh, eh, eh)"
1989 (Deluxe),In Wonderland
1989 (Deluxe),"(Eh, eh, eh, eh, eh)"
1989 (Deluxe),"Whoa, in Wonderland"
