album,lyric
Taylor Swift,We could ever be the same?
Taylor Swift,"You say that the past is the past, you need one chance"
Taylor Swift,"It was a moment of weakness and you said, ""Yes."""
Taylor Swift,"You should've said ""No"", you should've gone home"
Taylor Swift,You should've thought twice 'fore you let it all go
Taylor Swift,You should've known that word
Taylor Swift,"'Bout what you did with her'd,"
Taylor Swift,Get back to me (get back to me).
Taylor Swift,And I should've been there in the back of your mind
Taylor Swift,"I shouldn't be asking myself, ""Why?"""
Taylor Swift,You shouldn't be begging for forgiveness at my feet...
Taylor Swift,"You should've said ""No"", baby, and you might still have me"
Taylor Swift,I can't resist
Taylor Swift,"Before you go, tell me this:"
Taylor Swift,Was it worth it?
Taylor Swift,Was she worth this?
Taylor Swift,"No... no, no, no..."
Taylor Swift,"You should've said ""No"", you should've gone home"
Taylor Swift,You should've thought twice 'fore you let it all go
Taylor Swift,You should've known that word
Taylor Swift,"'Bout what you did with her'd,"
Taylor Swift,Get back to me (get back to me).
Taylor Swift,And I should've been there in the back of your mind
Taylor Swift,"I shouldn't be asking myself, ""Why?"""
Taylor Swift,You shouldn't be begging for forgiveness at my feet...
Taylor Swift,"You should've said ""No"", baby, and you might still have me"
Taylor Swift,"She said, I was seven and you were nine"
Taylor Swift,I looked at you like the stars that shined
Taylor Swift,"In the sky, the pretty lights"
Taylor Swift,And our daddies used to joke about the two of us
Taylor Swift,Growing up and falling in love and our mamas smiled
Taylor Swift,"And rolled their eyes and said, ""Oh my, my, my"""
Taylor Swift,Take me back to the house in the backyard tree
Taylor Swift,"Said you'd beat me up, you were bigger than me"
Taylor Swift,"You never did, you never did"
Taylor Swift,Take me back when our world was one block wide
Taylor Swift,I dared you to kiss me and ran when you tried
Taylor Swift,"Just two kids, you and I"
Taylor Swift,"Oh my, my, my, my"
Taylor Swift,"Well, I was sixteen when suddenly"
Taylor Swift,I wasn't that little girl you used to see
Taylor Swift,But your eyes still shined like pretty lights
Taylor Swift,And our daddies used to joke about the two of us
Taylor Swift,They never believed we'd really fall in love
Taylor Swift,And our mamas smiled and rolled their eyes
Taylor Swift,"And said, ""Oh my, my, my"""
Taylor Swift,Take me back to the creek beds we turned up
Taylor Swift,"Two A.M. riding in your truck, and all I need is you next to me"
Taylor Swift,Take me back to the time we had our very first fight
Taylor Swift,The slamming of doors instead of kissing goodnight
Taylor Swift,You stayed outside 'til the morning light
Taylor Swift,"Oh my, my, my, my"
Taylor Swift,A few years had gone and come around
Taylor Swift,We were sitting at our favorite spot in town
Taylor Swift,"And you looked at me, got down on one knee"
Taylor Swift,Take me back to the time when we walked down the aisle
Taylor Swift,Our whole town came and our mamas cried
Taylor Swift,"You said ""I do"" and I did too"
Taylor Swift,Take me home where we met so many years before
Taylor Swift,We'll rock our babies on that very front porch
Taylor Swift,"After all this time, you and I"
Taylor Swift,I'll be eighty-seven; you'll be eighty-nine
Taylor Swift,I'll still look at you like the stars that shine
Taylor Swift,"In the sky, oh my, my, my"
Taylor Swift,I was ridin' shotgun with my hair undone
Taylor Swift,In the front seat of his car
Taylor Swift,He's got a one-hand feel on the steering wheel
Taylor Swift,The other on my heart
Taylor Swift,"I look around, turn the radio down"
Taylor Swift,"He says, ""Baby, is something wrong?"""
Taylor Swift,"I say, ""Nothin', I was just thinkin'"
Taylor Swift,"How we don't have a song"""
Taylor Swift,And he says
Taylor Swift,Our song is the slamming screen door
Taylor Swift,"Sneakin' out late, tapping on your window"
Taylor Swift,When we're on the phone and you talk real slow
Taylor Swift,'Cause it's late and your mama don't know
Taylor Swift,Our song is the way you laugh
Taylor Swift,"The first date: ""Man, I didn't kiss her, and I should have"""
Taylor Swift,And when I got home 'fore I said amen
Taylor Swift,Asking God if he could play it again
Taylor Swift,I was walking up the front porch steps
Taylor Swift,After everything that day
Taylor Swift,Had gone all wrong or been trampled on
Taylor Swift,And lost and thrown away
Taylor Swift,"Got to the hallway, well on my way"
Taylor Swift,To my lovin' bed
Taylor Swift,I almost didn't notice all the roses
Taylor Swift,And the note that said
Taylor Swift,Our song is the slamming screen door
Taylor Swift,"Sneakin' out late, tapping on your window"
Taylor Swift,When we're on the phone and you talk real slow
Taylor Swift,'Cause it's late and your mama don't know
Taylor Swift,Our song is the way you laugh
Taylor Swift,"The first date: ""Man, I didn't kiss her, and I should have"""
Taylor Swift,And when I got home 'fore I said amen
Taylor Swift,Asking God if he could play it again
Taylor Swift,Da-da-da-da
Taylor Swift,"I've heard every album, listened to the radio"
Taylor Swift,Waited for somethin' to come along
Taylor Swift,That was as good as our song
Taylor Swift,'Cause our song is the slamming screen door
Taylor Swift,"Sneakin' out late, tappin' on his window"
Taylor Swift,When we're on the phone and he talks real slow
Taylor Swift,'Cause it's late and his mama don't know
Taylor Swift,Our song is the way he laughs
Taylor Swift,"The first date: ""Man, I didn't kiss him, and I should have"""
Taylor Swift,And when I got home 'fore I said amen
Taylor Swift,Asking God if he could play it again
Taylor Swift,"Play it again, oh, yeah"
Taylor Swift,"Oh, oh, yeah"
Taylor Swift,I was ridin' shotgun with my hair undone
Taylor Swift,In the front seat of his car
Taylor Swift,I grabbed a pen and an old napkin
Taylor Swift,And I wrote down our song
Taylor Swift,Friday night beneath the stars
Taylor Swift,In a field behind your yard
Taylor Swift,You and I are painting pictures in the sky
Taylor Swift,And sometimes we don't say a thing
Taylor Swift,Just listen to the crickets sing
Taylor Swift,Everything I need is right here by my side
Taylor Swift,And I know everything about you
Taylor Swift,I don't wanna live without you
Taylor Swift,I'm only up when you're not down
Taylor Swift,Don't wanna fly if you're still on the ground
Taylor Swift,It's like no matter what I do
Taylor Swift,"Well, you drive me crazy half the time"
Taylor Swift,"The other half, I'm only tryna"
Taylor Swift,Let you know that what I feel is true
Taylor Swift,And I'm only me when I'm with you
Taylor Swift,Just a small-town boy and girl
Taylor Swift,Living in a crazy world
Taylor Swift,Tryna figure out what is and isn't true
Taylor Swift,And I don't try to hide my tears
Taylor Swift,My secrets or my deepest fears
Taylor Swift,Through it all nobody gets me like you do
Taylor Swift,And you know everything about me
Taylor Swift,You say that you can't live without me
Taylor Swift,I'm only up when you're not down
Taylor Swift,Don't wanna fly if you're still on the ground
Taylor Swift,It's like no matter what I do
Taylor Swift,"Well, you drive me crazy half the time"
Taylor Swift,"The other half, I'm only tryna"
Taylor Swift,Let you know that what I feel is true
Taylor Swift,And I'm only me when I'm with you
Taylor Swift,When I'm with anybody else
Taylor Swift,It's so hard to be myself
Taylor Swift,And only you can tell
Taylor Swift,That I'm only up when you're not down
Taylor Swift,Don't wanna fly if you're still on the ground
Taylor Swift,It's like no matter what I do
Taylor Swift,"Well, you drive me crazy half the time"
Taylor Swift,"The other half, I'm only tryna"
Taylor Swift,Let you know that what I feel is true
Taylor Swift,"And I'm only me, who I wanna be"
Taylor Swift,"Well, I'm only me when I'm with you"
Taylor Swift,With you
Taylor Swift,"Uh-huh, yeah"
Taylor Swift,She can't see the way your eyes
Taylor Swift,Light up when you smile
Taylor Swift,She'll never notice how you stop and stare
Taylor Swift,Whenever she walks by
Taylor Swift,And you can't see me wanting you the way you want her
Taylor Swift,But you are everything to me
Taylor Swift,And I just wanna show you
Taylor Swift,She don't even know you
Taylor Swift,She's never gonna love you like I want to
Taylor Swift,And you just see right through me
Taylor Swift,But if you only knew me
Taylor Swift,We could be a beautiful
Taylor Swift,Miracle
Taylor Swift,Unbelievable
Taylor Swift,Instead of just invisible
Taylor Swift,"Oh, yeah"
Taylor Swift,There's a fire inside of you
Taylor Swift,That can't help but shine through
Taylor Swift,She's never gonna see the light
Taylor Swift,No matter what you do
Taylor Swift,And all I think about is how to make you think of me
Taylor Swift,And everything that we could be
Taylor Swift,I just wanna show you
Taylor Swift,She don't even know you
Taylor Swift,She's never gonna love you like I want to
Taylor Swift,And you just see right through me
Taylor Swift,If you only knew me
Taylor Swift,We could be a beautiful
Taylor Swift,Miracle
Taylor Swift,Unbelievable
Taylor Swift,Instead of just invisible
Taylor Swift,Like shadows in a faded light
Taylor Swift,"Oh, we're invisible"
Taylor Swift,I just wanna open your eyes
Taylor Swift,And make you realize
Taylor Swift,I just wanna show you
Taylor Swift,She don't even know you
Taylor Swift,"Baby, let me love you"
Taylor Swift,Let me want you
Taylor Swift,You just see right through me
Taylor Swift,But if you only knew me
Taylor Swift,We could be a beautiful
Taylor Swift,Miracle
Taylor Swift,Unbelievable
Taylor Swift,Instead of just invisible
Taylor Swift,"Oh, yeah"
Taylor Swift,She can't see the way your eyes
Taylor Swift,Light up when you smile
Taylor Swift,Why would you wanna break a perfectly good heart?
Taylor Swift,"Why would you wanna take our love and tear it all apart, now?"
Taylor Swift,Why would you wanna make the very first scar?
Taylor Swift,Why would you wanna break a perfectly good heart?
Taylor Swift,Maybe I should've seen the signs
Taylor Swift,Should've read the writing on the wall
Taylor Swift,And realized by the distance in your eyes that I would be the one to fall
Taylor Swift,"No matter what you say, I still can't believe"
Taylor Swift,That you would walk away
Taylor Swift,"It don't make sense to me, but"
Taylor Swift,Why would you wanna break a perfectly good heart?
Taylor Swift,"Why would you wanna take our love and tear it all apart, now?"
Taylor Swift,Why would you wanna make the very first scar?
Taylor Swift,Why would you wanna break a perfectly good heart?
Taylor Swift,It's not unbroken anymore
Taylor Swift,How do I get it back the way it was before?
Taylor Swift,Why would you wanna break a perfectly good heart?
Taylor Swift,"Why would you wanna take our love and tear it all apart, now?"
Taylor Swift,Why would you wanna make the very first scar?
Taylor Swift,Why would you wanna break? Why would you wanna break it?
Taylor Swift,Why would you wanna break a perfectly good heart?
Taylor Swift,"Why would you wanna take our love and tear it all apart, now?"
Taylor Swift,Why would you wanna make the very first scar?
Taylor Swift,Why would you wanna break a perfectly good heart?
Taylor Swift,Drew looks at me
Taylor Swift,I fake a smile so he won't see
Taylor Swift,What I want and I need
Taylor Swift,And everything that we should be
Taylor Swift,I'll bet she's beautiful
Taylor Swift,That girl he talks about
Taylor Swift,And she's got everything
Taylor Swift,That I have to live without
Taylor Swift,Drew talks to me
Taylor Swift,I laugh 'cause it's just so funny
Taylor Swift,But I can't even see
Taylor Swift,Anyone when he's with me
Taylor Swift,He says he's so in love
Taylor Swift,He's finally got it right
Taylor Swift,I wonder if he knows
Taylor Swift,He's all I think about at night
Taylor Swift,He's the reason for the teardrops on my guitar
Taylor Swift,The only thing that keeps me wishing on a wishing star
Taylor Swift,He's the song in the car I keep singing
Taylor Swift,Don't know why I do
Taylor Swift,Drew walks by me
Taylor Swift,Can he tell that I can't breathe?
Taylor Swift,"And there he goes, so perfectly"
Taylor Swift,The kind of flawless I wish I could be
Taylor Swift,She better hold him tight
Taylor Swift,Give him all her love
Taylor Swift,Look in those beautiful eyes
Taylor Swift,And know she's lucky 'cause
Taylor Swift,He's the reason for the teardrops on my guitar
Taylor Swift,The only thing that keeps me wishing on a wishing star
Taylor Swift,He's the song in the car I keep singing
Taylor Swift,Don't know why I do
Taylor Swift,So I drive home alone
Taylor Swift,As I turn out the light
Taylor Swift,I'll put his picture down
Taylor Swift,And maybe get some sleep tonight
Taylor Swift,'Cause he's the reason for the teardrops on my guitar
Taylor Swift,The only one who's got enough of me to break my heart
Taylor Swift,He's the song in the car I keep singing
Taylor Swift,Don't know why I do
Taylor Swift,"He's the time taken up, but there's never enough"
Taylor Swift,And he's all that I need to fall into
Taylor Swift,Drew looks at me
Taylor Swift,I fake a smile so he won't see
Fearless (Taylor’s Version),There's something 'bout the way
Fearless (Taylor’s Version),The street looks when it's just rained
Fearless (Taylor’s Version),"There's a glow off the pavement, you walk me to the car"
Fearless (Taylor’s Version),And you know I wanna ask you to dance right there
Fearless (Taylor’s Version),"In the middle of the parking lot, yeah"
Fearless (Taylor’s Version),"Oh, yeah"
Fearless (Taylor’s Version),"We're driving down the road, I wonder if you know"
Fearless (Taylor’s Version),I'm trying so hard not to get caught up now
Fearless (Taylor’s Version),"But you're just so cool, run your hands through your hair"
Fearless (Taylor’s Version),Absent-mindedly making me want you
Fearless (Taylor’s Version),And I don't know how it gets better than this
Fearless (Taylor’s Version),"You take my hand and drag me head first, fearless"
Fearless (Taylor’s Version),And I don't know why but with you I'd dance
Fearless (Taylor’s Version),"In a storm in my best dress, fеarless"
Fearless (Taylor’s Version),"So, baby, drive slow 'til we run out of road in this onе-horse town"
Fearless (Taylor’s Version),"I wanna stay right here, in this passenger's seat"
Fearless (Taylor’s Version),You put your eyes on me
Fearless (Taylor’s Version),"In this moment now, capture it, remember it"
Fearless (Taylor’s Version),Cause I don't know how it gets better than this
Fearless (Taylor’s Version),"You take my hand and drag me head first, fearless"
Fearless (Taylor’s Version),And I don't know why but with you I'd dance
Fearless (Taylor’s Version),"In a storm in my best dress, fearless"
Fearless (Taylor’s Version),"Oh, oh"
Fearless (Taylor’s Version),"Well, you stood there with me in the doorway"
Fearless (Taylor’s Version),"My hands shake, I'm not usually this way but"
Fearless (Taylor’s Version),You pull me in and I'm a little more brave
Fearless (Taylor’s Version),"It's the first kiss, it's flawless, really something"
Fearless (Taylor’s Version),It's fearless
Fearless (Taylor’s Version),"Oh, yeah"
Fearless (Taylor’s Version),'Cause I don't know how it gets better than this
Fearless (Taylor’s Version),"You take my hand and drag me head first, fearless"
Fearless (Taylor’s Version),And I don't know why but with you I'd dance
Fearless (Taylor’s Version),"In a storm in my best dress, fearless"
Fearless (Taylor’s Version),'Cause I don't know how it gets better than this
Fearless (Taylor’s Version),"You take my hand and drag me head first, fearless"
Fearless (Taylor’s Version),And I don't know why but with you I'd dance
Fearless (Taylor’s Version),"In a storm in my best dress, fearless"
Fearless (Taylor’s Version),"Oh, oh"
Fearless (Taylor’s Version),"Oh-oh, yeah"
Fearless (Taylor’s Version),You take a deep breath and you walk through the doors
Fearless (Taylor’s Version),It's the mornin' of your very first day
Fearless (Taylor’s Version),You say hi to your friends you ain't seen in a while
Fearless (Taylor’s Version),Try and stay out of everybody's way
Fearless (Taylor’s Version),It's your freshman year and you're gonna be here
Fearless (Taylor’s Version),For the next four years in this town
Fearless (Taylor’s Version),Hopin' one of those senior boys will wink at you and say
